trial,method,runtime,nodes,cost,length,switches
1,Baseline,0.49071320006623864,32,283.1136779196238,122.9993188291818,1
2,Baseline,0.5450430000200868,36,281.2067368195196,113.24733833360486,1
1,ML-guided,1.0529250998515636,35,265.0657764159055,115.70776288333067,1
2,ML-guided,1.299543800065294,59,253.26475121462875,103.28404855831687,1
